content,score
"Makin lama makin banyak update, makin bagus kualitas nya tapi sangat disayangkan untuk game play nya sering mengalami lag, padahal kondisi jaringan Dari kartu yang saya pakai 4G+ tapi ketika game play ping nya selalu jum ping kemudian stak di 285ms. Tolong diperbaiki!! KEBANYAKAN UPDATE, MASALAH JARINGAN BELUM DIPERBAIKI MALAH DIABAIKAN. PARAHHHHHHH pembagian tim nya masih asal asalan masa solo lawan nya trio kocak",1
"Untuk Moonton, tolong ini bug nya bukan segera diperbaiki tapi malah tambah banyak. Saya mengalami 3 bug sekaligus tau gak? Pertama bug detik² akhir draft pick selalu frame drop, kedua bug loading screen, yg sempat saya komentar dulu tetapp saja tidak di perbaiki, yg ketiga bug sinyal, sinyal hijau tapi di in game gabisa di buat main. Tolong ya saya sudah habis kesabaran saya dengan bug² ini, saya main jadi tidak fokus karena bug² ini yg menggangu. Tolong sekali lagi segera perbaiki bug ini.",2
buat developer nya saya ingin mengajukan saran ketika dalam pembagian tim..yah menurut saya yang kurang terhadap pembagian tim nya yah ketika yang solo player di pertemukan dengan tim yang kurang mampu bertemu dengan tim lawan yang perbedaan antara tim lain sama tim sendiri perbedaan nya terlalu jauh gimana bisa di sebut adil ketika 1 tim terdiri antara pemain global dan tim lainnya di isi dengan yang kurang berpengalaman coba . udah segitu aja kalo Gak bisa benerin sistem nya mending resign,2
"Game buruk, system matchmaking game paling buruk yg pernah ada, penyeimbangan tim tidak setara. Setelah win 1x selanjutnya pasti lose 2x atau lebih, stuck dan terus berputar"" seperti itu. Jika tidak ada perbaikan mengenai penyeimbangan matchmaking, game ini akan menjadi game moba dengan matchmaking terburuk yang pernah ada.",1
"ini uda seminggu belum ada perubahan parah sih, jaringan tiba2 lag di in game, delay actionnya dari skill yg kita tekan, lagi war rame tiba2 ping 200an, kalo di luar game bagus, pas di in game nya yg bermasalah, ga nyaman bener, sekelas game gede gini utk fixing masalah ini sampe berhari2 uda ga make sense sih.",5
"Mobile Legends memang seru dimainkan dengan banyak pilihan hero dan grafik yang bagus. Sayangnya, matchmaking sering tidak seimbang, tim kadang beda rank jauh, ditambah ada pemain toxic atau AFK yang bikin pengalaman jadi kurang adil dan sering bikin frustrasi. Secara keseluruhan masih layak dimainkan, tapi sistemnya butuh perbaikan.",1
"Semenjak patch di update, matchmaking makin jelek,waktu loading screen saat memasuki pertandingan tiba tiba diam padahal jaringan bagus,dan server sekarang sering ngelag,padahal ping nya bagus,dan ada bug juga pada hero chip pada ulti nya yang dapat berpindah,yang dapat menyebabkan leg yg parah.",1
"game kurang menyenangkan, masa jaringanku sudah baik dan lag sama sekali, tapi waktu pertandingan selesai tiba"" aja disuruh menghubungkan kembali karna jaringan tidak stabil, terus hasil pertandingan nya hilang, padahal menang loh, bintang juga ngga nambah. padahal ada kata ""hasil pertandingan telah disimpan"" tapi apa?, malah hilang. pas mau protes langsung tiba"" login ulang sendiri,berulang kali pula. developer ga suka saya menang apa gimana ini hah!!!😡😡",1
"jaringan data dan wifi sudah sangat bagus. tetapi ML terlalu banyak bug. sering tiba"" ilang jaringan 1 tim, keluar sendiri, history hilang, dan paling banyak kasus hanya muter"" terus jaringan nya. padahal jaringan bagus. dan sering juga data dalam game seperti ""friendlist, event², persiapan, dll"" juga sering bug",1
"aneh banget, sering ngefreeze ga jelas, tiba tiba diem, jaringan merah pas di pertandingan, tapi pas di lobby hijau, sering banget kayak gitu aneh pokoknya, bintang 1👎, trus kenapa semenjak reset season telat masuk ke game nya, sebelum nya menit 00.12, tiba tiba jadi ke 00.45 rugi banget, ngeleg ngeleg",1
"Dulu MLBB itu seru banget, tapi sekarang rasanya cuma bikin emosi. Matchmaking kacau — sering banget dapet tim yang afk, troll, atau gak seimbang. Hero baru selalu terlalu kuat, sementara hero lama ditinggalin. Event-nya juga makin pay-to-win, bikin pemain gratisan susah berkembang. Lag masih sering, padahal jaringan masih bagus, jujur game ini sekarang bikin lebih stress daripada senang. tolong dengarkan pemain.jangan cuma fokus sama jual skin",1
"Tolong di perbaikilah jaringan kalian monton jangan hanya keuntungan yang kalian fikir kan, kenapa asik lag aja asal main, saya benar-benar tidak puas, dari dahulu sampai sekarang masalah jaringan aja, padahal paket banyak, selalu di update pembaruan, kalian mengecewakan para player. Dari dahulu kalian tidak pernah menyenangkan para player, kalian pilih kasih. Betol kan sinyal kalian montonnnnnnnn. game kayak bujang tidak pernah menyenangkan hati ku. ngelag lah, dapat tim kyk babi lah, bujang",1
"buat game ini tolong lah, perbaiki lagi tentang bug jaringannya. sering banget tiba-tiba lag gajelas padahal jaringan lancar buka apk lain juga lancar dan ping di dalam gamenya juga 10-50an tapi tetep aja lag, apalagi lagnya itu pas lagi war, bikin kesel sendiri aja main ini game. tolong moonton perbaiki lagi terutama bug ngelag tiba-tiba gajelas itu padahal jaringan bagus dan stabil, bukan soal hpnya kentang.",1
"semakin kesini semakin banyak bug ga jelass, kadang jalan sendiri analog ga bisa digerakin dan harus login ulang untuk mengatasi hal tersebut mengakibatkan blunder di tim, dan ini terjadi tidak hanya 1-2 pertandingan padahal dipriksa jaringan juga lancar, masih kecewa",2
"asli kecewa ama game ini, terkusus masalah jaringan di in game, padahal sinyal full, buat buka semua apk aman, padahal sebelum maen udah aku cek jaringan ijo, tapi pas in game, tiba2 hero jalan sendiri, ping ijo, tiba2 mati gk jelas, lama banget, aku coba mode pesawat dll, malah jaringan jadi 200ms, trus sampe game kelar, gk cuma sekali dua kali, dahlah",1
"Katanya di pacht sekarang gak boleh ada perantara tiga, seperti script, dll. Tapi, pas saya main tiba tiba lag, padahal di 2 game sebelumnya lancar lancar aja, padahal Deket tower loh, katanya yang make perantara bakal ke terdeteksi, tapi yang ngecheat aja gak kedeteksi, udah bikin jaringan ngelag, di kata-katain sama tim karena gak bisa main, padahal jaringan gw hijau, gua udah alesan jaringan gw ngelag tapi gak ada yang percaya, jadi tolong ya moonton di perbaiki lagi ya moonton, di baca juga",1
"suara Hero gak ada sama sekali dan musik, suara damage dalam pertandingan terkadang hilang terkadang ada. padahal sudah download suara dan bahasa. sudah aktifkan maksimal semua di pengaturan. klo sebabnya karna memori hp ya maaf. tapi lainnya sudah bagus",4
"i think ini mungkin agak kasar , tapi udah nahan juga , ada tiga poin pertama 1- jaringan yang di katakan buruk, bug dan lag yang luar biasa parah terkadang, sampai sampai kredit skors saya buruk, padahal koneksi saya sangat support (tolong jangan hanya mementingkan event dari pada pengalaman bermain) 2- banyaknya cheater dan orang orang yang melakukan kecurangan dari game , membuat ketidak nyamanan saya sebagai pemain 3-,sistem operasi yang terkadang delay pada saat / momen penting pemain",1
"game nya bagus tapi tolong kalo lu nih pembuat game nya, lu kalo dah ngasih musuh susah dan tim sampah ya jangan di bikin lag lah, jaringan gw bagus ijo paket masih banyak tapi di kasih lag, jln di tempat, jadi tolong lah di baca keluhan ku ini. Tolong banget gak usah pake lag lag kan segala, kalau udh ngasih Mach yang susah yaudah jangan ditambah lag lagi nambah cape, harus lawan musuh, gendong tim, ini lagi jaringan di kasih lag apa coba jadi tolong ya di perbaiki 🙏🙏",1
"Saya sudah sangat lama main game ini. Tapi semakin kesini semakin jelek saat gameplay, sering ngeframe padahal sinyal bagus dan penyimpanan hp masih sangat luas, sering tiba² layar berubah jadi biru atau hitam tapi musik tetap terdengar. Ketika sudah bisa, saya malah AFK, baru masuk setelah 2/3 menit. Tolong lah perbaiki!!! Percuma aja ada season setiap 3 bulan sekali kalau updatenya cuma ngebagusin skin, design, dsb. Coba perbaiki supaya mudah memainkan gamenya dan gamers MLBB tidak kecewa!!!",1
pembagian matchmaking yang diberikan oleh moonton selalu tidak seimbang. khususnya bagi solo player. karena sangat dan sangat sering pemain solo digabungkan dengan player tim dengan 3 orang. untuk kedepannya sangat diharapkan jika developer masih menginginkan game ini ( MLBB)terus berjalan. PERTIMBANGKAN KEMBALI MATCHMAKING JIKA 3 OTANG GABUNGKAN DENGAN TIM 2 ORANG. JANGAN GABUNGKAN TIM 3 PLAYER DENGAN SOLO PLAYER !!!!!!!,1
"teruntuk developer, sinyal wifi di rumah saya bagus, tapi kenapa tiba tiba ping saya jadi merah, padahal sebelum merah ping saya 6, kok bisa, jadi tolong lah, walau hal sepele, ini membuat pengalaman bermain saya jadi kurang, terus juga, kalau ngasih tim yang bener dong, jangan tiba tiba tim saya nge pick mm 2 biji, ke gold Lane semua lagi, kan saya pusing ngegendongnya, bukannya happy, yang ada saya malah emosi, pengen bakar gedung anda, tolong perbaiki kesalahan bug dan timnya, terima kasih",1
"buat developer,tolong dong,buat main di Clasik lebih di perketat lagi,masa iya setiap main,dalam satu roll misal exp Lane kadang ada 2 ,gold Lane kosong,kadang asal pilih Hero,ya emang buat latihan,tapi buat rollnya di bikin satu satu aja,kalo ngga tolong dong,di bikin kaya rank aja biar lebih enak,trus mohon stuck loading di awal pertandingan di perbaiki,masa iya masuk pertandingan,musuh udah lvl 2,ya gw baru masuk ya langsung kalah lah,game ngga jelas,udah sering kirim masukan",1
"makin update makin banyak bug nya, pas draft pick sering ngefreeze layar nya, setelah draft pick loading nya sering lama, kadang muncul ganguan sinyal padahal saya pake kuota+wifi, abis itu masuk game udah menit 1, belum lagi tim yang ga seimbang, keknya makin lama gane nya makin ga ramah buat hp kentang, berat banget game nya serung ngefreeze dll, belum lagi kadang sinyal jumping dari 20ms tau tau 200-300ms. tolong di perbaiki lagi game nya jangan update skin mulu, benerin match+bug nya.",1
"sistem game dah rusak apa gimana, suka frame drop di draf pick, dan yg ngalamin juga banyak, tapi malah di biarin aja sama monnton, trs juga, gw sering ngalamin stuck di loading screen di 80%, game aneh gimana mau playernya betah main cobak klok bug aja masih banyak😡",3
"MAKIN BURUK, update GB makin besar tapi bukannya bagus malah makin jelek. Ping naik terus padahal buka apk lain lancar aja, bikin lobi gagal terus, keluar lagi keterangan jaringan tidak stabil, pas bisa masuk lobi nunggu match lama, pas bisa dapat match musuh tidak seimbang. Sekelas game besar kok kualitas tiap update semakin buruk ? Scroll skin ngelag, scroll item ngelag, semua ngelag. Lama-lama pada kabur playernya.",1
"matchmaking ampas dari rple dan tim ga seimbang, gameplay patah2, desain colab yang ga sesuai dengan diamond yang di keluarkan, harga terlampau mahal, animasi framing yang buruk dan ga sesuai, dari hampir segala segi 3/10. kalo mau lihat gameplay smooth itu cuma vainglory di lain grafis, mereka menawarkan kenyamanan bermain. lah ini nyaman aja belom tentu.",1
"game nya udah bagus sih tapi ada dua masalah yang ingin saya beri tahu 1.masalah pada jaringan,ini sangat sering terjadi pada saya kadang bagus kadang lag. 2.masalah tim harusnya timnya harus sesuai kalo lawan pro kasih juga temen kita yang pro soalnya biasanya sering terjadi lawan pro sedangkan temen kita noob.itu saja ulasan saya semoga bisa diperbaiki.",3
"Gimana yah? mau mulai dari mana pun gak tau, tapi Ml selalu jadi game yang mengecewakan dan menjengkelkan. Dari aspek koneksi internet kadang jelek, padahal kondisi jaringannya bagus. Dari aspek fair nya aja masih suka gak adil, di ksi team play yang buruk terus, playernya juga banyak yang suka chat gak ramah atau suka maki"" player lain. Pokoknya kacau sih mobel legen beng beng ini. Lebih anehnya, setiap main sudah dpt 5 bintang selangkah ke rank berikutnya malah di kasi player noob. Aneh emang",1
"saya kasih bintang 1 lagi, karena jujur sistem matching masih busuk banget, apalagi buat player yang main solo, bukan mau gimana', tapi buat kita pemain solo ketik posisi kita udah menang 1 game, pasti game selanjutnya kita bakal di setimkan dengan orang' yang mainnya busuk banget, sedangkan lawannya berbanding jauh dengan kemampuan rekan tim kita, saya sering banget mebgalami kayak gitu, al hasil membuat main hanya buat buang waktu bintang ga naik makah stuck",1
"gamenya bagus, cuma ga masuk akal aja, lawannya beda jauh dari level bisa beda 5 bahkan 7 level perbedaannya. mungkin pengaruh Top UP kali ya hehhehe.. beda kaya game Art Of War udah main 8 tahun, dapat lawan sebanding level, walaupun musuhnya dengan spek unit yg keras n udah up spek tinggi walaupun akhirnya kalah, tapi seimbang ada perlawanan yg imbang. kalo untuk game ini, amat disayangkan seperti terlalu dikomersilkan, tetap game Art of War komersil juga, cuma ga seperti Game ini. cuma saran.",1
"Sementara kasih 2 dulu yaaa, untuk matchmaking perlu diperbaiki lagi algoritma nya yaa, karena kita sebagai player solo sangat dirugikan ditemukan musuh tim trio, coba ubah algoritmanya maksimal lawan duo. Karena begini, trio itu pasti komunikasinya jelas sedangkan solo seperti kita harus inisiatif sendiri untuk membantu tim okeee👌. untuk lainnya saya rasa sudah oke bagus good👌",1
"sedikit saran untuk sistem custom room nya, karna ada beberapa hal yang bikin kesel ada orang random invite ke cr cuman disitu diperlawankan sama komputer dan lebih parahnya lagi game itu bisa sampai 1 bahkan 2 jam lebih karna pembuat cr nya sering paus game dan itu sangat sangat bikin geram, waktu yang digunakan jadi sia sia",1
"setelah update kemarin game nya makin gajelas!!!!, karena main ngelag terus padahal wifi sama data sama sama bagus, tapi ngelag ngekah terus, padahal ping 20 an tapi ngelag banget, setiap ketemu musuh lag, giliran ga ketemu lancar, jangan game doang bagus, taoi di perbiki!!",5
"maaf hanya bisa memberi bintang 1,karena sistem penyetaraan tim masih diluar nalar game mobile, dikarenakan tidak ada beda sama sekali dengan adanya fitur baru dari game ini untuk mode rank draft pick,mohon untuk pemasukan untuk fitur baru game ini tolong jika role yang dipilih exp dll di role itu hanya boleh menggunakan 1 jenis hero sesuai role nya seperti misal,role exp lane hanya bisa mamakai fighter, gold lane hanya bisa menggunakan maksman,mohon pemasukan ini di adakan dan dibaca terimakasi",1
"Ini game apaan?Setiap match jaringan selalu tidak stabil di in game, padahal wi fi saya 5g, ping selalu nge drop parah, alhasil permainan tidak seru dan tidak mengenakan, trus juga, sering kali dapat lawan yang tidak seimbang, Tim cara main kayak Komputer, dapat lawan spek mantan Immo, Tolong diperbaiki biar enak lagi, Tolong ya Monton",1
"game ni cukup bagus ya, tapi ada hal yg perlu lu fix lagi: 1. Lag: Pas fokus main, tapi tiba² lag. benci banget sumpah. itu yg buat gw blunder 2. Matchmaking: Solo emang parah, mau buat partyan ketemu tim gj. sekali musuh abang² imo 3. Pilih Lane: ni fitur bagus, tapi tolonglah. gw mau main Jung malah dapet roam terus. 4. Bintang: tolong jangan kasih losestreak dong plis. misal udah legend 1 B5 mau mitik, turun terus sampe 4x 5. Losestreak: minimal kalo kalah ya sekali apa dua kali woi",2
"Game paling susah untuk mencapai tier tertinggi, karna susah sekali, terutama untuk player solo, Tolong perbaiki lagi untuk matchmaking, setiap MVP, jangan di turunkan bintangnya, jadi gak merugikan yang main serius, dan JARINGAN server perbaiki lagi,",2
"Game gajelas semuanya hancur. Sistem dari game rusak parah, tidak ada keadilan. Game pay to win harga harga skin dan yang lain sangat mahal, kita seperti dimanfaatkan oleh moonton. Kita sudah banyak memberikan saran dan masukan, tapi seperti tidak didengar olehnya. Kita sudah banyak membantunya, namun apa? Kita tidak mendapatkan apa apa darinya. Jadi tolong di perbaiki lagi dengan benar dan teliti!! Ini bukan menjelekan, tapi memberi masukan walau ada sedikit kata kata yg tidak pantas.",5
"Sistem game erorr, RUSAK ! biar di kirim screenshoot juga ga bisa bantu, paling gitu gitu juga lagi, bukan 1 2 kali pemain kirim tangkapan layar masih aja tidak ada perubahan, saran berputar putar belit, GAME OVER, UNINSTAL !!!",1
"keseimbangan matchmaking nya gak imbang banget tim lawan jauh lebih unggul di banding tim sendiri, ditambah lagi jaringannya ngelag terus padahal buka aplikasi lain lancar no kendala, kadang juga menghubungkan kembali terus padahal jaringannya bagus, tolong lah diperbaiki hal semacam ini agar pemain merasa lebih baik.",1
"saya kasih bintang 1, makin kesini montoon makin ga jelas nyiptain fitur fitur yang ga berguna malahan bikin tambah berat aja kasian yg hp nya setandar ke bawah, ini malahan kaya ngikutin HOK, iya aja klo matchmaking nya seimbang ini beda jauh banget musuh nya jgo² sedangkan tim kita pada bego² bikin jadi males main, oh ya 1 lagi setelah update² terbaru ini sinyal jadi kacau pdhl jaringan gua bagus tapi tiba² ga bisa gerak sendiri, pas udh mati aja baru lancar, jdi bikin ga nyaman player",1
"Mobile Legends mengalami masalah performa saat dimainkan, terutama terkait kestabilan jaringan. Meskipun koneksi internet stabil, game sering mengalami lag dan delay, terutama saat pertandingan berlangsung. Mohon dilakukan perbaikan atau optimasi pada server agar pengalaman bermain lebih lancar dan kompetitif",4
"game ini semakin kesini makin gaje, setiap main pasti skil heronya delay, terus kadang udah di pencet tapi ga keluar, sering lah saat dalam permainan, padahal di loby jaringannya bagus, Wifi-nya juga bagus, tolong lah monton untuk ini di perbaiki segera, sangat meresahkan ketika sedang push rank",1
"Halo Moonton, Saya ingin menyampaikan keluhan mengenai sistem matchmaking di Mobile Legends. Dari dulu sampai sekarang, pembagian tim terasa tidak adil. Pemain sering mendapatkan tim yang tidak seimbang, misalnya satu tim berisi pemain yang kurang pengalaman sementara tim lawan jauh lebih kompak. Hal ini membuat pengalaman bermain jadi kurang menyenangkan. Mohon agar sistem matchmaking bisa lebih diperbaiki supaya pemain mendapatkan tim yang seimbang dan adil. Terima kasih atas perhatian dan ker",1
"saat masuk in game pada mode rank, tertulis jaringan terputus, namun pada jaringan data ponselku sedang bagus, bagaimana bisa seperti itu?????, alhasil saya afk beberapa kali dan membuat kredit skorku turun, tolong yaa min admin segera di perbaiki semaksimal mungkin ton moonton bintang 1 itu sesuai dengan keresahankuuuuuuuuuu,, payahhhh",1
"Lag pada server, bug UI. lag pada server>mode speed on, ngelag ga bisa bergerak, kalau mode speed off, ngelag tapi masih bisa bergerak. Bug UI>Bug saat menemukan pertandingan, draft pick, dan memasuki pertandingan.",1
"""Dear Developer, setiap hari saya main MLBB dengan jaringan WiFi stabil, penyimpanan HP luas, perangkat lancar, tapi tetap saja selalu muncul peringatan AFK. Kalau player sudah memastikan semuanya bagus tapi sistem game masih salah deteksi, berarti yang bermasalah bukan pemain, tapi sistem gamenya sendiri. Jangan sampai pemain yang serius malah kena cap AFK gara-gara bug atau sistem yang tidak akurat. Mohon diperbaiki, karena game sebesar ini seharusnya bisa lebih profesional dalam mendeteksi ma",2
"Makin lama nih game makin ampas, tidak heran pada pindah ke game sebelah... kita gak butuh skin gratis, yang kita paling butuhkan itu optimasi... percuma game bagus kalau jaringannya gak stabil digamenya... itu akun-akun yang udah tidak diurus mending dihapus permanen karena terlalu bebankan server... kalau gak ada perbaikan, percuma juga...gak ada bedanya dengan game rpg sebelah👎👎",1
"semakin update bukannya semakin suram, sering waktu loading screen mengalami frame, sudah relog tetapi frame di loading login, sudah melaporkan ke cs tetapi tidak ada perbaikan dan kompensasi, bintang turun, win rate turun, kredit skor turun. Baru kali ini saya merasa kecewa dengan game ini",1
terakhir memberikan ulasan bulan juli ada 3 bulan yang lalu tapi sampai sekarang masalah jaringan tidak pernah ada perbaikan ini keuntungannya dari berbagai macam event penjual dan lainnya itu kemana kenapa masalah classic jaringan dari dulu sampai tidak pernah ada penyelesaian? setiap pertandingan selalu ping tidak stabil tapi ketika disaat bersamaan buka aplikasi lain seperti youtube tiktok lancar saja tidak ada kemdala,1
"ayolah ini game kenapa dah? season² sebelumnya aku main aman² aja tpi skrg kenapa malah sering ngelag ya? apalagi pas pemilihan hero itu sering lag pdhl jaringan bagus lo. aku juga klo main di game kok malah lag juga pas lgi rame. ini bug apa gimana? delay banget itu pdhl grafik udh dibuat rata kiri. tolonglah ini diperbaiki, lama² ntar game mu mati klo kayak gini",1
gamenya bagus cuma pas saya main terus kuota saya habis kan otomatis afk dan ketika saya mau main lagi tiba tiba gak bisa main rank lagi dan saya lihat di kotak masuk ada pemberitahuan yang saya terima itu saya kena sanksi yang menyebabkan credit score saya berkurang 9 yang tadi ya 94 menjadi 84 dan ketika saya afk bisa tanpa ada halangan hukumannya pun berbeda credit scorenya hanya berkurang 2-4?,4
"Sistem matchnya bisa tidak dioptimalkan, agar makin bagus gamenya? Terus bisa gak untuk permasalahan jaringan diperbaiki juga. Saya bermain dengan wifi yang bagus saja merasa bahwa masih agak kurang, unggulnya game ini sih cuman di bagian skin-skinnya aja sih. Untuk matchmakingnya tolong diperbaiki lagi, lagi.",3
"semenjak season sinyal dan bug dimana mana,tolong untuk pihak dan tim mobile legend di perbaiki,ping sinyal 10-20mps gbsa gerak dan delay 3 detik,sementara itu di akun saya mengalami bug dimana ketika loading screen mau masuk ingame ngestuck di 80% lalu muncul peringatan bahwa sistem eror dan tidak lama dari situ saya langsung masuk ke dalam game dengan keadaan telat 2menit,performa saya menurun sejak season karna bug ini,jika masih belum di perbaiki maka akan saya hapus gamenya.",1
"saya punya kendala, yaitu saat asik bermain, tiba² sinyal hilang dan menampilkan teks ""menghubungkan kembali ke pertandingan"" seperti pada umumnya, tapi padahal kuota saya masih aktif dan ping masih hijau (sekitar 25-40ms) entah knp mlbb saat ini makin berat di hp kentang dan sinyal makin kacau. semoga lain waktu bisa lebih baik lagi💪",3
"tolong dong diperbaiki lagi, setelah update makin rusak. Masa di loading screen bisa tiba' keluar sendiri gitu, padahal jaringan bagus, memori gaada penuh, tiba' keluar sendiri. Waktu mau masuk, langsung ke loading screen dan sama aja lagi kaya gitu, dan akhirnya barusan saya login malah diberitahukan afk. ini gmn si, masa keluar masuk loading screen terus. dibenerin lagi ya, ga nyaman kalo gini terus!!",2
"semenjak sistem baru di dalam draft pick banyak yang tidak sesuai dengan role, banyak yang tes hero dan dlam game pun tak pernah seimbang. kadang dapat tim bagus musuhnya kurang. kadang dapat tim kuran kita punya tim lebih nub. maen untuk senang2 malahan yang ada hanya emosi",1
"yg download nyesel, mending main honor of kings. banyak ngelag, bug, dan patah2 pas in game, apalagi pas lagi war, parah bgt ngelagnya. tau2 mati. PADAHAL SINYAL HIJAU, BAGUS DAN KENCENG! berbagai cara udah coba, coba relog, coba uninstall download lagi, coba pake wifi, UDAH SEMUA TAPI TERPANTAU BLM ADA PERUBAHAN! kan Bawaannya jadi suudzon Mulu sama tim musuh kayanya ada yg ngecheat atau apa, ternyata emang GAME INI YG RUSAK! sibuk ngurusin skin baru terus, PERFORMA SINYAL TUH BAGUSIN. KOCAK!",1
"padahal jaringan bagus, bar jaringannya juga full, tapi kenapa kadang suka ngelag, dan anehnya ngelagnya cuma pas lagi war, kadang lancar kadang tiba tiba lag lagi, tolong di fix ya, ganggu banget soalnya, bikin yang awalnya lagi posisi menang jadi kalau",1
"ping nya jelek banget, jumping, dari 9 ke 100-200an pas in game, di lobby gapapa, wifi aman-aman aja, mana ga keitung jaringan tidak stabil pas penghitungan poin rank kalo kalah, yang bener aja, sudah banyak yang meresahkan jaringan yang jelek parah pas in game masih aja ga dibenerin, rusak ni game.",1
"Montoon Semakin Lama, semakin gak jelas. Game nya Lumayan Bagus, Tapi Banyak System Yang Eror. Yang Terutama 1. Sinyal Bagus Tapi Game Nya Eror, 2. Nge stuk Gak Bisa Di Gerakan. 3. Selalu Dapet Tim Dark System. Itu Keluhan Yang Saya Alami Di Game Ini. Memang, Grafiknya Bagus, Tapi System Nya Selalu Eror.",1
"setelah apdate map baru ini sering terjadi lag, apalagi ketika mytic up sering menghubungkan baik data sendiri maupun WiFi, menyebabkan player ketinggalan permainan bahkan sampai 2 menit, tolong perbaiki ini karena sering terjadi ketika mytic up",1
