content,score,text_final
"wajib download sih ini game moba, seru banget, ulasan buruk:tapi kadang suka ngelag sendiri padahal jaringan nya bagus ulasan baik:game nya selalu menampilkan grafik yg bagus dan kadang setelah update mejadi lebih bagus. tapi saya minta tolong, saat mulai jangan di berikan lawan yg hebat , ehh teman malah drak sistem, tolong ya..",5,wajib download game moba seru banget ulas buruktapi kadang suka lag jaring bagus ulas baikgame tampil grafik bagus kadang update mejadi bagus lawan hebat ehh teman drak sistem
"Makin lama makin banyak update, makin bagus kualitas nya tapi sangat disayangkan untuk game play nya sering mengalami lag, padahal kondisi jaringan Dari kartu yang saya pakai 4G+ tapi ketika game play ping nya selalu jum ping kemudian stak di 285ms. Tolong diperbaiki!! KEBANYAKAN UPDATE, MASALAH JARINGAN BELUM DIPERBAIKI MALAH DIABAIKAN. PARAHHHHHHH pembagian tim nya masih asal asalan masa solo lawan nya trio kocak",1,update bagus kualitas sayang game play alami lag kondisi jaring kartu pakai g game play ping jum ping stak ms baik banyak update jaring baik abai parahhhhhhh bagi tim asal solo lawan trio kocak
"Untuk Moonton, tolong ini bug nya bukan segera diperbaiki tapi malah tambah banyak. Saya mengalami 3 bug sekaligus tau gak? Pertama bug detik² akhir draft pick selalu frame drop, kedua bug loading screen, yg sempat saya komentar dulu tetapp saja tidak di perbaiki, yg ketiga bug sinyal, sinyal hijau tapi di in game gabisa di buat main. Tolong ya saya sudah habis kesabaran saya dengan bug² ini, saya main jadi tidak fokus karena bug² ini yg menggangu. Tolong sekali lagi segera perbaiki bug ini.",2,moonton bug baik alami bug tau gak bug detik draft pick frame drop bug loading screen komentar tetapp baik tiga bug sinyal sinyal hijau in game gabisa main habis sabar bug main fokus bug menggangu baik bug
buat developer nya saya ingin mengajukan saran ketika dalam pembagian tim..yah menurut saya yang kurang terhadap pembagian tim nya yah ketika yang solo player di pertemukan dengan tim yang kurang mampu bertemu dengan tim lawan yang perbedaan antara tim lain sama tim sendiri perbedaan nya terlalu jauh gimana bisa di sebut adil ketika 1 tim terdiri antara pemain global dan tim lainnya di isi dengan yang kurang berpengalaman coba . udah segitu aja kalo Gak bisa benerin sistem nya mending resign,2,developer aju saran bagi timyah bagi tim solo player temu tim temu tim lawan beda tim tim beda gimana adil tim main global tim isi alam coba segitu gak benerin sistem mending resign
"Game buruk, system matchmaking game paling buruk yg pernah ada, penyeimbangan tim tidak setara. Setelah win 1x selanjutnya pasti lose 2x atau lebih, stuck dan terus berputar"" seperti itu. Jika tidak ada perbaikan mengenai penyeimbangan matchmaking, game ini akan menjadi game moba dengan matchmaking terburuk yang pernah ada.",1,game buruk system matchmaking game buruk imbang tim tara win x lose x stuck putar baik imbang matchmaking game game moba matchmaking buruk
"ini uda seminggu belum ada perubahan parah sih, jaringan tiba2 lag di in game, delay actionnya dari skill yg kita tekan, lagi war rame tiba2 ping 200an, kalo di luar game bagus, pas di in game nya yg bermasalah, ga nyaman bener, sekelas game gede gini utk fixing masalah ini sampe berhari2 uda ga make sense sih.",5,minggu ubah parah jaring lag in game delay actionnya skill tekan war rame ping an game bagus pas in game masalah nyaman bener kelas game gede gin utk fixing sampe hari make sense
"Mobile Legends memang seru dimainkan dengan banyak pilihan hero dan grafik yang bagus. Sayangnya, matchmaking sering tidak seimbang, tim kadang beda rank jauh, ditambah ada pemain toxic atau AFK yang bikin pengalaman jadi kurang adil dan sering bikin frustrasi. Secara keseluruhan masih layak dimainkan, tapi sistemnya butuh perbaikan.",1,mobile legends seru main pilih hero grafik bagus sayang matchmaking imbang tim kadang beda rank tambah main toxic afk bikin alam adil bikin frustrasi layak main sistem butuh baik
"Semenjak patch di update, matchmaking makin jelek,waktu loading screen saat memasuki pertandingan tiba tiba diam padahal jaringan bagus,dan server sekarang sering ngelag,padahal ping nya bagus,dan ada bug juga pada hero chip pada ulti nya yang dapat berpindah,yang dapat menyebabkan leg yg parah.",1,semenjak patch update matchmaking jelekwaktu loading screen pasuk tanding diam jaring bagusdan server ngelagpadahal ping bagusdan bug hero chip ulti berpindahyang sebab leg parah
"game kurang menyenangkan, masa jaringanku sudah baik dan lag sama sekali, tapi waktu pertandingan selesai tiba"" aja disuruh menghubungkan kembali karna jaringan tidak stabil, terus hasil pertandingan nya hilang, padahal menang loh, bintang juga ngga nambah. padahal ada kata ""hasil pertandingan telah disimpan"" tapi apa?, malah hilang. pas mau protes langsung tiba"" login ulang sendiri,berulang kali pula. developer ga suka saya menang apa gimana ini hah!!!😡😡",1,game senang jaring lag tanding selesai suruh hubung jaring stabil hasil tanding hilang menang loh bintang nambah hasil tanding simpan hilang pas protes langsung login ulang sendiriberulang kali developer suka menang gimana hah
"jaringan data dan wifi sudah sangat bagus. tetapi ML terlalu banyak bug. sering tiba"" ilang jaringan 1 tim, keluar sendiri, history hilang, dan paling banyak kasus hanya muter"" terus jaringan nya. padahal jaringan bagus. dan sering juga data dalam game seperti ""friendlist, event², persiapan, dll"" juga sering bug",1,jaring data wifi bagus ml bug ilang jaring tim history hilang muter jaring jaring bagus data game friendlist event siap bug
"aneh banget, sering ngefreeze ga jelas, tiba tiba diem, jaringan merah pas di pertandingan, tapi pas di lobby hijau, sering banget kayak gitu aneh pokoknya, bintang 1👎, trus kenapa semenjak reset season telat masuk ke game nya, sebelum nya menit 00.12, tiba tiba jadi ke 00.45 rugi banget, ngeleg ngeleg",1,aneh banget ngefreeze diem jaring merah pas tanding pas lobby hijau banget kayak gitu aneh pokok bintang semenjak reset season telat masuk game menit rugi banget ngeleg ngeleg
"Dulu MLBB itu seru banget, tapi sekarang rasanya cuma bikin emosi. Matchmaking kacau — sering banget dapet tim yang afk, troll, atau gak seimbang. Hero baru selalu terlalu kuat, sementara hero lama ditinggalin. Event-nya juga makin pay-to-win, bikin pemain gratisan susah berkembang. Lag masih sering, padahal jaringan masih bagus, jujur game ini sekarang bikin lebih stress daripada senang. tolong dengarkan pemain.jangan cuma fokus sama jual skin",1,mlbb seru banget bikin emosi matchmaking kacau banget tim afk troll gak imbang hero kuat hero ditinggalin eventnya paytowin bikin main gratis susah kembang lag jaring bagus jujur game bikin stress senang dengar pemainjangan fokus jual skin
"Tolong di perbaikilah jaringan kalian monton jangan hanya keuntungan yang kalian fikir kan, kenapa asik lag aja asal main, saya benar-benar tidak puas, dari dahulu sampai sekarang masalah jaringan aja, padahal paket banyak, selalu di update pembaruan, kalian mengecewakan para player. Dari dahulu kalian tidak pernah menyenangkan para player, kalian pilih kasih. Betol kan sinyal kalian montonnnnnnnn. game kayak bujang tidak pernah menyenangkan hati ku. ngelag lah, dapat tim kyk babi lah, bujang",1,baik jaring monton untung fikir asik lag main benarbenar puas jaring paket update baru kecewa player senang player pilih kasih betol sinyal montonnnnnnnn game kayak bujang senang hati ku lag tim kyk babi bujang
"buat game ini tolong lah, perbaiki lagi tentang bug jaringannya. sering banget tiba-tiba lag gajelas padahal jaringan lancar buka apk lain juga lancar dan ping di dalam gamenya juga 10-50an tapi tetep aja lag, apalagi lagnya itu pas lagi war, bikin kesel sendiri aja main ini game. tolong moonton perbaiki lagi terutama bug ngelag tiba-tiba gajelas itu padahal jaringan bagus dan stabil, bukan soal hpnya kentang.",1,game baik bug jaring banget tibatiba lag gajelas jaring lancar buka apk lancar ping gamenya an tetep lag lagnya pas war bikin kesel main game moonton baik bug lag tibatiba gajelas jaring bagus stabil hpnya kentang
"semakin kesini semakin banyak bug ga jelass, kadang jalan sendiri analog ga bisa digerakin dan harus login ulang untuk mengatasi hal tersebut mengakibatkan blunder di tim, dan ini terjadi tidak hanya 1-2 pertandingan padahal dipriksa jaringan juga lancar, masih kecewa",2,kesini bug jelass kadang jalan analog digerakin login ulang atas akibat blunder tim tanding dipriksa jaring lancar kecewa
"asli kecewa ama game ini, terkusus masalah jaringan di in game, padahal sinyal full, buat buka semua apk aman, padahal sebelum maen udah aku cek jaringan ijo, tapi pas in game, tiba2 hero jalan sendiri, ping ijo, tiba2 mati gk jelas, lama banget, aku coba mode pesawat dll, malah jaringan jadi 200ms, trus sampe game kelar, gk cuma sekali dua kali, dahlah",1,asli kecewa game sus jaring in game sinyal full buka apk aman maen cek jaring ijo pas in game hero jalan ping ijo mati banget coba mode pesawat jaring ms sampe game kelar kali dah
"Katanya di pacht sekarang gak boleh ada perantara tiga, seperti script, dll. Tapi, pas saya main tiba tiba lag, padahal di 2 game sebelumnya lancar lancar aja, padahal Deket tower loh, katanya yang make perantara bakal ke terdeteksi, tapi yang ngecheat aja gak kedeteksi, udah bikin jaringan ngelag, di kata-katain sama tim karena gak bisa main, padahal jaringan gw hijau, gua udah alesan jaringan gw ngelag tapi gak ada yang percaya, jadi tolong ya moonton di perbaiki lagi ya moonton, di baca juga",1,pacht gak antara script pas main lag game lancar lancar deket tower loh make antara deteksi ngecheat gak deteksi bikin jaring lag katakatain tim gak main jaring hijau alesan jaring lag gak percaya moonton baik moonton baca
"suara Hero gak ada sama sekali dan musik, suara damage dalam pertandingan terkadang hilang terkadang ada. padahal sudah download suara dan bahasa. sudah aktifkan maksimal semua di pengaturan. klo sebabnya karna memori hp ya maaf. tapi lainnya sudah bagus",4,suara hero gak musik suara damage tanding terkadang hilang terkadang download suara bahasa aktif maksimal atur memori hp maaf bagus
"i think ini mungkin agak kasar , tapi udah nahan juga , ada tiga poin pertama 1- jaringan yang di katakan buruk, bug dan lag yang luar biasa parah terkadang, sampai sampai kredit skors saya buruk, padahal koneksi saya sangat support (tolong jangan hanya mementingkan event dari pada pengalaman bermain) 2- banyaknya cheater dan orang orang yang melakukan kecurangan dari game , membuat ketidak nyamanan saya sebagai pemain 3-,sistem operasi yang terkadang delay pada saat / momen penting pemain",1,i think kasar nahan poin jaring buruk bug lag parah terkadang kredit skors buruk koneksi support penting event alam main banyak cheater orang orang curang game tidak nyaman main sistem operasi terkadang delay momen main
"game nya bagus tapi tolong kalo lu nih pembuat game nya, lu kalo dah ngasih musuh susah dan tim sampah ya jangan di bikin lag lah, jaringan gw bagus ijo paket masih banyak tapi di kasih lag, jln di tempat, jadi tolong lah di baca keluhan ku ini. Tolong banget gak usah pake lag lag kan segala, kalau udh ngasih Mach yang susah yaudah jangan ditambah lag lagi nambah cape, harus lawan musuh, gendong tim, ini lagi jaringan di kasih lag apa coba jadi tolong ya di perbaiki 🙏🙏",1,game bagus buat game dah ngasih musuh susah tim sampah bikin lag jaring bagus ijo paket kasih lag jln baca keluh ku banget gak pake lag lag ngasih mach susah tambah lag nambah cape lawan musuh gendong tim jaring kasih lag coba baik
"Saya sudah sangat lama main game ini. Tapi semakin kesini semakin jelek saat gameplay, sering ngeframe padahal sinyal bagus dan penyimpanan hp masih sangat luas, sering tiba² layar berubah jadi biru atau hitam tapi musik tetap terdengar. Ketika sudah bisa, saya malah AFK, baru masuk setelah 2/3 menit. Tolong lah perbaiki!!! Percuma aja ada season setiap 3 bulan sekali kalau updatenya cuma ngebagusin skin, design, dsb. Coba perbaiki supaya mudah memainkan gamenya dan gamers MLBB tidak kecewa!!!",1,main game kesini jelek gameplay ngeframe sinyal bagus simpan hp luas layar ubah biru hitam musik dengar afk masuk menit baik season updatenya ngebagusin skin design coba baik mudah main gamenya gamers mlbb kecewa
pembagian matchmaking yang diberikan oleh moonton selalu tidak seimbang. khususnya bagi solo player. karena sangat dan sangat sering pemain solo digabungkan dengan player tim dengan 3 orang. untuk kedepannya sangat diharapkan jika developer masih menginginkan game ini ( MLBB)terus berjalan. PERTIMBANGKAN KEMBALI MATCHMAKING JIKA 3 OTANG GABUNGKAN DENGAN TIM 2 ORANG. JANGAN GABUNGKAN TIM 3 PLAYER DENGAN SOLO PLAYER !!!!!!!,1,bagi matchmaking moonton imbang solo player main solo gabung player tim orang depan harap developer game mlbbterus jalan timbang matchmaking otang gabung tim orang gabung tim player solo player
"teruntuk developer, sinyal wifi di rumah saya bagus, tapi kenapa tiba tiba ping saya jadi merah, padahal sebelum merah ping saya 6, kok bisa, jadi tolong lah, walau hal sepele, ini membuat pengalaman bermain saya jadi kurang, terus juga, kalau ngasih tim yang bener dong, jangan tiba tiba tim saya nge pick mm 2 biji, ke gold Lane semua lagi, kan saya pusing ngegendongnya, bukannya happy, yang ada saya malah emosi, pengen bakar gedung anda, tolong perbaiki kesalahan bug dan timnya, terima kasih",1,untuk developer sinyal wifi rumah bagus ping merah merah ping sepele alam main ngasih tim bener tim nge pick mm biji gold lane pusing ngegendongnya happy emosi ken bakar gedung baik salah bug tim terima kasih
"buat developer,tolong dong,buat main di Clasik lebih di perketat lagi,masa iya setiap main,dalam satu roll misal exp Lane kadang ada 2 ,gold Lane kosong,kadang asal pilih Hero,ya emang buat latihan,tapi buat rollnya di bikin satu satu aja,kalo ngga tolong dong,di bikin kaya rank aja biar lebih enak,trus mohon stuck loading di awal pertandingan di perbaiki,masa iya masuk pertandingan,musuh udah lvl 2,ya gw baru masuk ya langsung kalah lah,game ngga jelas,udah sering kirim masukan",1,developertolong dongbuat main clasik ketat lagimasa maindalam roll exp lane kadang gold lane kosongkadang pilih heroya emang latihantapi rollnya bikin ajakalo dongdi bikin kaya rank biar enaktrus mohon stuck loading tanding perbaikimasa masuk pertandinganmusuh lvl masuk langsung kalah lahgame jelasudah kirim masuk
"makin update makin banyak bug nya, pas draft pick sering ngefreeze layar nya, setelah draft pick loading nya sering lama, kadang muncul ganguan sinyal padahal saya pake kuota+wifi, abis itu masuk game udah menit 1, belum lagi tim yang ga seimbang, keknya makin lama gane nya makin ga ramah buat hp kentang, berat banget game nya serung ngefreeze dll, belum lagi kadang sinyal jumping dari 20ms tau tau 200-300ms. tolong di perbaiki lagi game nya jangan update skin mulu, benerin match+bug nya.",1,update bug pas draft pick ngefreeze layar draft pick loading kadang muncul ganguan sinyal pake kuotawifi abis masuk game menit tim imbang kek gane ramah hp kentang berat banget game serung ngefreeze kadang sinyal jumping ms tau tau ms baik game update skin mulu benerin matchbug
"sistem game dah rusak apa gimana, suka frame drop di draf pick, dan yg ngalamin juga banyak, tapi malah di biarin aja sama monnton, trs juga, gw sering ngalamin stuck di loading screen di 80%, game aneh gimana mau playernya betah main cobak klok bug aja masih banyak😡",3,sistem game dah rusak gimana suka frame drop draf pick ngalamin biarin monnton ngalamin stuck loading screen game aneh gimana playernya betah main cobak klok bug
"MAKIN BURUK, update GB makin besar tapi bukannya bagus malah makin jelek. Ping naik terus padahal buka apk lain lancar aja, bikin lobi gagal terus, keluar lagi keterangan jaringan tidak stabil, pas bisa masuk lobi nunggu match lama, pas bisa dapat match musuh tidak seimbang. Sekelas game besar kok kualitas tiap update semakin buruk ? Scroll skin ngelag, scroll item ngelag, semua ngelag. Lama-lama pada kabur playernya.",1,buruk update gb bagus jelek ping buka apk lancar bikin lobi gagal terang jaring stabil pas masuk lobi nunggu match pas match musuh imbang kelas game kualitas update buruk scroll skin lag scroll item lag lag lamalama kabur playernya
"matchmaking ampas dari rple dan tim ga seimbang, gameplay patah2, desain colab yang ga sesuai dengan diamond yang di keluarkan, harga terlampau mahal, animasi framing yang buruk dan ga sesuai, dari hampir segala segi 3/10. kalo mau lihat gameplay smooth itu cuma vainglory di lain grafis, mereka menawarkan kenyamanan bermain. lah ini nyaman aja belom tentu.",1,matchmaking ampas rple tim imbang gameplay patah desain colab sesuai diamond keluar harga lampau mahal animasi framing buruk sesuai segi lihat gameplay smooth vainglory grafis tawar nyaman main nyaman bom
"game nya udah bagus sih tapi ada dua masalah yang ingin saya beri tahu 1.masalah pada jaringan,ini sangat sering terjadi pada saya kadang bagus kadang lag. 2.masalah tim harusnya timnya harus sesuai kalo lawan pro kasih juga temen kita yang pro soalnya biasanya sering terjadi lawan pro sedangkan temen kita noob.itu saja ulasan saya semoga bisa diperbaiki.",3,game bagus jaringanini kadang bagus kadang lag tim tim sesuai lawan pro kasih temen pro lawan pro temen noobitu ulas moga baik
"Gimana yah? mau mulai dari mana pun gak tau, tapi Ml selalu jadi game yang mengecewakan dan menjengkelkan. Dari aspek koneksi internet kadang jelek, padahal kondisi jaringannya bagus. Dari aspek fair nya aja masih suka gak adil, di ksi team play yang buruk terus, playernya juga banyak yang suka chat gak ramah atau suka maki"" player lain. Pokoknya kacau sih mobel legen beng beng ini. Lebih anehnya, setiap main sudah dpt 5 bintang selangkah ke rank berikutnya malah di kasi player noob. Aneh emang",1,gimana gak tau ml game kecewa jengkel aspek koneksi internet kadang jelek kondisi jaring bagus aspek fair suka gak adil ksi team play buruk playernya suka chat gak ramah suka maki player pokok kacau mobel legen beng beng aneh main bintang selang rank kasi player noob aneh emang
"saya kasih bintang 1 lagi, karena jujur sistem matching masih busuk banget, apalagi buat player yang main solo, bukan mau gimana', tapi buat kita pemain solo ketik posisi kita udah menang 1 game, pasti game selanjutnya kita bakal di setimkan dengan orang' yang mainnya busuk banget, sedangkan lawannya berbanding jauh dengan kemampuan rekan tim kita, saya sering banget mebgalami kayak gitu, al hasil membuat main hanya buat buang waktu bintang ga naik makah stuck",1,kasih bintang jujur sistem matching busuk banget player main solo gimana main solo ketik posisi menang game game tim orang main busuk banget lawan banding mampu rekan tim banget mebgalami kayak gitu al hasil main buang bintang makah stuck
"gamenya bagus, cuma ga masuk akal aja, lawannya beda jauh dari level bisa beda 5 bahkan 7 level perbedaannya. mungkin pengaruh Top UP kali ya hehhehe.. beda kaya game Art Of War udah main 8 tahun, dapat lawan sebanding level, walaupun musuhnya dengan spek unit yg keras n udah up spek tinggi walaupun akhirnya kalah, tapi seimbang ada perlawanan yg imbang. kalo untuk game ini, amat disayangkan seperti terlalu dikomersilkan, tetap game Art of War komersil juga, cuma ga seperti Game ini. cuma saran.",1,gamenya bagus masuk akal lawan beda level beda level beda pengaruh top up kali hehhehe beda kaya game art of war main lawan banding level musuh spek unit keras n up spek kalah imbang lawan imbang game sayang dikomersilkan game art of war komersil game saran
"Sementara kasih 2 dulu yaaa, untuk matchmaking perlu diperbaiki lagi algoritma nya yaa, karena kita sebagai player solo sangat dirugikan ditemukan musuh tim trio, coba ubah algoritmanya maksimal lawan duo. Karena begini, trio itu pasti komunikasinya jelas sedangkan solo seperti kita harus inisiatif sendiri untuk membantu tim okeee👌. untuk lainnya saya rasa sudah oke bagus good👌",1,kasih yaaa matchmaking baik algoritma yaa player solo rugi temu musuh tim trio coba ubah algoritmanya maksimal lawan duo trio komunikasi solo inisiatif bantu tim okeee oke bagus good
"sedikit saran untuk sistem custom room nya, karna ada beberapa hal yang bikin kesel ada orang random invite ke cr cuman disitu diperlawankan sama komputer dan lebih parahnya lagi game itu bisa sampai 1 bahkan 2 jam lebih karna pembuat cr nya sering paus game dan itu sangat sangat bikin geram, waktu yang digunakan jadi sia sia",1,saran sistem custom room bikin kesel orang random invite cr cuman situ lawan komputer parah game jam buat cr paus game bikin geram sia sia
"setelah update kemarin game nya makin gajelas!!!!, karena main ngelag terus padahal wifi sama data sama sama bagus, tapi ngelag ngekah terus, padahal ping 20 an tapi ngelag banget, setiap ketemu musuh lag, giliran ga ketemu lancar, jangan game doang bagus, taoi di perbiki!!",5,update kemarin game gajelas main lag wifi data bagus lag ngekah ping an lag banget ketemu musuh lag gilir ketemu lancar game bagus taoi bik
"maaf hanya bisa memberi bintang 1,karena sistem penyetaraan tim masih diluar nalar game mobile, dikarenakan tidak ada beda sama sekali dengan adanya fitur baru dari game ini untuk mode rank draft pick,mohon untuk pemasukan untuk fitur baru game ini tolong jika role yang dipilih exp dll di role itu hanya boleh menggunakan 1 jenis hero sesuai role nya seperti misal,role exp lane hanya bisa mamakai fighter, gold lane hanya bisa menggunakan maksman,mohon pemasukan ini di adakan dan dibaca terimakasi",1,maaf bintang sistem tara tim luar nalar game mobile beda fitur game mode rank draft pickmohon pasu fitur game role pilih exp role jenis hero sesuai role misalrole exp lane mamakai fighter gold lane maksmanmohon pasu adakan baca terimakasi
"Ini game apaan?Setiap match jaringan selalu tidak stabil di in game, padahal wi fi saya 5g, ping selalu nge drop parah, alhasil permainan tidak seru dan tidak mengenakan, trus juga, sering kali dapat lawan yang tidak seimbang, Tim cara main kayak Komputer, dapat lawan spek mantan Immo, Tolong diperbaiki biar enak lagi, Tolong ya Monton",1,game apaansetiap match jaring stabil in game wi fi g ping nge drop parah alhasil main seru kena kali lawan imbang tim main kayak komputer lawan spek mantan immo baik biar enak monton
"game ni cukup bagus ya, tapi ada hal yg perlu lu fix lagi: 1. Lag: Pas fokus main, tapi tiba² lag. benci banget sumpah. itu yg buat gw blunder 2. Matchmaking: Solo emang parah, mau buat partyan ketemu tim gj. sekali musuh abang² imo 3. Pilih Lane: ni fitur bagus, tapi tolonglah. gw mau main Jung malah dapet roam terus. 4. Bintang: tolong jangan kasih losestreak dong plis. misal udah legend 1 B5 mau mitik, turun terus sampe 4x 5. Losestreak: minimal kalo kalah ya sekali apa dua kali woi",2,game ni bagus fix lag pas fokus main lag benci banget sumpah blunder matchmaking solo emang parah partyan ketemu tim gj musuh abang imo pilih lane ni fitur bagus tolong main jung roam bintang kasih losestreak legend b mitik turun sampe x losestreak minimal kalah kali woi
"Game paling susah untuk mencapai tier tertinggi, karna susah sekali, terutama untuk player solo, Tolong perbaiki lagi untuk matchmaking, setiap MVP, jangan di turunkan bintangnya, jadi gak merugikan yang main serius, dan JARINGAN server perbaiki lagi,",2,game susah capai tier tinggi susah player solo baik matchmaking mvp turun bintang gak rugi main serius jaring server baik
"Game gajelas semuanya hancur. Sistem dari game rusak parah, tidak ada keadilan. Game pay to win harga harga skin dan yang lain sangat mahal, kita seperti dimanfaatkan oleh moonton. Kita sudah banyak memberikan saran dan masukan, tapi seperti tidak didengar olehnya. Kita sudah banyak membantunya, namun apa? Kita tidak mendapatkan apa apa darinya. Jadi tolong di perbaiki lagi dengan benar dan teliti!! Ini bukan menjelekan, tapi memberi masukan walau ada sedikit kata kata yg tidak pantas.",5,game gajelas hancur sistem game rusak parah adil game pay to win harga harga skin mahal manfaat moonton saran masuk dengar bantu dari baik teliti jelek masuk
